length,maxspeed,geometry,highway,cost,incoming_cell,outgoing_cell,lca_res,id
71.008,50.0,"LINESTRING (-122.9021987915039 49.235382080078125, -122.90237426757812 49.235389709472656, -122.9031753540039 49.235416412353516)",tertiary,5.112576,644733726893923147,644733726893916302,10,15
67.075,50.0,"LINESTRING (-122.90132141113281 49.2353630065918, -122.9005126953125 49.23534393310547, -122.90039825439453 49.2353401184082)",tertiary,4.8294,644733726893876324,644733726893882280,10,16
63.738,50.0,"LINESTRING (-122.90132141113281 49.2353630065918, -122.90205383300781 49.23537826538086, -122.9021987915039 49.235382080078125)",tertiary,4.589136,644733726893916302,644733726893882280,9,17
94.697,20.0,"LINESTRING (-122.90132141113281 49.2353630065918, -122.90132141113281 49.23531723022461, -122.90132141113281 49.23530960083008, -122.90130615234375 49.23528289794922, -122.90055847167969 49.23468780517578)",service,17.045460000000002,644733726893893939,644733726893882280,10,18
19.961000000000002,50.0,"LINESTRING (-122.90039825439453 49.2353401184082, -122.90023040771484 49.23533630371094, -122.9001235961914 49.23533248901367)",tertiary,1.437192,644733726897885914,644733726893876324,7,19
67.075,50.0,"LINESTRING (-122.90039825439453 49.2353401184082, -122.9005126953125 49.23534393310547, -122.90132141113281 49.2353630065918)",tertiary,4.8294,644733726893882280,644733726893876324,10,20
135.204,30.0,"LINESTRING (-122.90039825439453 49.2353401184082, -122.9003677368164 49.23527526855469, -122.90035247802734 49.23523712158203, -122.89929962158203 49.23436737060547)",residential,16.22448,644733726890976886,644733726893876324,7,21
39.905,50.0,"LINESTRING (-122.9001235961914 49.23533248901367, -122.9000015258789 49.235328674316406, -122.89957427978516 49.235321044921875)",tertiary,2.87316,644733726897867652,644733726897885914,10,22
44.968,30.0,"LINESTRING (-122.9001235961914 49.23533248901367, -122.9001235961914 49.235408782958984, -122.9001235961914 49.23542785644531, -122.90013122558594 49.23573684692383)",residential,5.39616,644733726897924395,644733726897885914,9,23
19.961000000000002,50.0,"LINESTRING (-122.9001235961914 49.23533248901367, -122.90023040771484 49.23533630371094, -122.90039825439453 49.2353401184082)",tertiary,1.437192,644733726893876324,644733726897885914,7,24
149.451,50.0,"LINESTRING (-122.89957427978516 49.235321044921875, -122.8976821899414 49.23530578613281, -122.89761352539062 49.23529052734375, -122.89756774902344 49.23527526855469, -122.89753723144531 49.23525619506836)",tertiary,10.760472,644733726897949700,644733726897867652,9,25
39.905,50.0,"LINESTRING (-122.89957427978516 49.235321044921875, -122.9000015258789 49.235328674316406, -122.9001235961914 49.23533248901367)",tertiary,2.87316,644733726897885914,644733726897867652,10,26
