,incoming_edge,outgoing_edge
0,"(7016006731, 7016006763)","(7016006763, 7016006760)"
1,"(167873255, 11980662584)","(11980662584, 167845227)"
2,"(11980909215, 11980909197)","(11980909197, 11980909196)"
3,"(167862553, 167790717)","(167790717, 167790704)"
4,"(167862622, 167978652)","(167978652, 167848877)"
5,"(167931718, 167931719)","(167931719, 168073116)"
6,"(11308349222, 11308349221)","(11308349221, 11308349209)"
7,"(167930016, 167849518)","(167849518, 167930016)"
8,"(11308349228, 11308349219)","(11308349219, 11308349231)"
9,"(167791970, 167791975)","(167791975, 167791970)"
10,"(12725741665, 12725741662)","(12725741662, 12725741665)"
11,"(167862597, 167960698)","(167960698, 167976612)"
12,"(7009847802, 7009847804)","(7009847804, 7009847802)"
13,"(168068105, 167821145)","(167821145, 168068105)"
14,"(167935278, 167886319)","(167886319, 167935278)"
15,"(11204131592, 11204131588)","(11204131588, 11204131553)"
16,"(11980909196, 167835205)","(167835205, 11980909196)"
17,"(7009822247, 7009822246)","(7009822246, 7009822242)"
18,"(167829677, 167829691)","(167829691, 6864382257)"
19,"(167895469, 167895478)","(167895478, 167895469)"
20,"(167978630, 167832344)","(167832344, 4575838559)"
21,"(8890445763, 8890445917)","(8890445917, 8890445771)"
22,"(167997300, 167808847)","(167808847, 167997300)"
23,"(12725716083, 12725716080)","(12725716080, 12725716079)"
24,"(7016006760, 9888956671)","(9888956671, 3469851442)"
25,"(12723388777, 12723388778)","(12723388778, 12723388769)"
26,"(12728185806, 12728185821)","(12728185821, 12728185806)"
27,"(12728249042, 12728249037)","(12728249037, 167922472)"
28,"(7009847795, 7009847794)","(7009847794, 7009847795)"
29,"(168010991, 167885972)","(167885972, 167885981)"
30,"(7018292432, 7018292280)","(7018292280, 7018292281)"
31,"(8896164398, 8896164397)","(8896164397, 8896164399)"
32,"(167850248, 167895090)","(167895090, 167947091)"
33,"(167953692, 168036145)","(168036145, 167953692)"
34,"(10133642774, 10133642776)","(10133642776, 167799553)"
35,"(167791975, 167999430)","(167999430, 167791975)"
36,"(12862536209, 12862535995)","(12862535995, 12862536209)"
37,"(11204131546, 11204131553)","(11204131553, 11204131588)"
38,"(7021072805, 7021072804)","(7021072804, 7021072802)"
39,"(12723445815, 12723445814)","(12723445814, 12723445812)"
40,"(8896164398, 8896164396)","(8896164396, 6952592546)"
41,"(7018292369, 7018292444)","(7018292444, 7018292361)"
42,"(167906445, 167906441)","(167906441, 167906439)"
43,"(167870033, 167870039)","(167870039, 167870033)"
44,"(167815409, 168030531)","(168030531, 8026278225)"
45,"(167844782, 167976186)","(167976186, 167844782)"
46,"(167883805, 167895096)","(167895096, 167883805)"
47,"(9335990883, 9335990886)","(9335990886, 9335990882)"
48,"(167882803, 12728143883)","(12728143883, 12728143884)"
49,"(7018292388, 7018292390)","(7018292390, 7018292392)"
50,"(167895090, 167947091)","(167947091, 167947095)"
51,"(13056132498, 13056132494)","(13056132494, 13056132500)"
52,"(7021128741, 7021128740)","(7021128740, 7021128742)"
53,"(167879177, 167817267)","(167817267, 167817257)"
54,"(167823784, 11627263678)","(11627263678, 11627263684)"
55,"(7021112362, 7021112358)","(7021112358, 7021117507)"
56,"(167835205, 11980909247)","(11980909247, 167835205)"
57,"(167849518, 167849531)","(167849531, 167849518)"
58,"(167866758, 167866772)","(167866772, 167866758)"
59,"(7016006766, 7016006768)","(7016006768, 7016006763)"
60,"(168004033, 168014031)","(168014031, 168019716)"
61,"(167867039, 167867042)","(167867042, 167867039)"
62,"(167890084, 167830013)","(167830013, 167890081)"
63,"(168054963, 167870659)","(167870659, 168054963)"
64,"(8890445848, 8890445846)","(8890445846, 8890445848)"
65,"(11308349228, 11308349231)","(11308349231, 11308349219)"
66,"(12161835648, 168030626)","(168030626, 12161835648)"
67,"(7021072809, 7021072811)","(7021072811, 7021072809)"
68,"(168020503, 11980909265)","(11980909265, 11980909266)"
69,"(11309680571, 11308349182)","(11308349182, 11308349180)"
70,"(11624893201, 11624893218)","(11624893218, 11624893217)"
71,"(6762393221, 167870287)","(167870287, 6762393221)"
72,"(167822337, 167886213)","(167886213, 167886216)"
73,"(168086847, 168086849)","(168086849, 168030626)"
74,"(12725737804, 12725737803)","(12725737803, 12725737801)"
75,"(167867029, 167996139)","(167996139, 167827249)"
76,"(167974780, 12723451326)","(12723451326, 12723451322)"
77,"(167897453, 167897458)","(167897458, 167957641)"
78,"(167999899, 167936768)","(167936768, 167936762)"
79,"(3359695559, 10174611037)","(10174611037, 10174611038)"
80,"(12725826560, 12725826558)","(12725826558, 12725826560)"
81,"(167862553, 167862543)","(167862543, 167862553)"
82,"(7018292510, 7018292425)","(7018292425, 7018292426)"
83,"(7021085428, 167805029)","(167805029, 167805043)"
84,"(11204131418, 11204131419)","(11204131419, 11204131418)"
85,"(7009822241, 7007141928)","(7007141928, 7009822230)"
86,"(9658673573, 9658673570)","(9658673570, 9658673571)"
87,"(7018292379, 7018292377)","(7018292377, 7018292376)"
88,"(167835427, 7009876683)","(7009876683, 167837391)"
89,"(7018292412, 7018292410)","(7018292410, 7018292411)"
90,"(11308349205, 11308349264)","(11308349264, 11308349205)"
91,"(167997287, 7618701203)","(7618701203, 7618701200)"
92,"(7973686452, 167965649)","(167965649, 7973686452)"
93,"(9658694815, 12728158814)","(12728158814, 9658694815)"
94,"(167843575, 167843594)","(167843594, 167843575)"
95,"(7021112326, 7021112325)","(7021112325, 7021112346)"
96,"(167868814, 167868805)","(167868805, 167868814)"
97,"(10133642749, 10133642751)","(10133642751, 10133642749)"
98,"(167974780, 167887600)","(167887600, 167974780)"
99,"(7021112350, 7021112348)","(7021112348, 7021112350)"
100,"(7017428540, 7017428564)","(7017428564, 7017428566)"
101,"(12723437913, 12723437907)","(12723437907, 12723437913)"
102,"(7018292500, 167964201)","(167964201, 9335990856)"
103,"(7009847803, 7009847802)","(7009847802, 7009847804)"
104,"(12723445810, 12723445809)","(12723445809, 12723445807)"
105,"(3525966543, 3525966545)","(3525966545, 3525966548)"
106,"(167916892, 167842158)","(167842158, 167791137)"
107,"(168037734, 167867701)","(167867701, 167941060)"
108,"(168031251, 168019716)","(168019716, 167831433)"
109,"(167977264, 167843566)","(167843566, 167922499)"
110,"(11308349280, 11308349278)","(11308349278, 11308349280)"
111,"(167931772, 1135035682)","(1135035682, 167931821)"
112,"(11204117736, 11204117731)","(11204117731, 11204131310)"
113,"(167895478, 167850253)","(167850253, 167895478)"
114,"(12862536208, 12862536206)","(12862536206, 12862536208)"
115,"(167897453, 167906417)","(167906417, 167882865)"
116,"(12909904665, 12909904678)","(12909904678, 12909904665)"
117,"(7018292299, 7018292456)","(7018292456, 7018292299)"
118,"(639305866, 12909904692)","(12909904692, 13056132481)"
119,"(13116669235, 13116669234)","(13116669234, 13116669241)"
120,"(8891102942, 8891102929)","(8891102929, 8891102942)"
121,"(12158161908, 167790721)","(167790721, 12158161908)"
122,"(12728230617, 12728230628)","(12728230628, 12728230617)"
123,"(167947091, 167947095)","(167947095, 167968871)"
124,"(167835427, 167931856)","(167931856, 5801071045)"
125,"(167829988, 167829982)","(167829982, 167829969)"
126,"(12723369522, 12723369521)","(12723369521, 167827658)"
127,"(167870190, 167887600)","(167887600, 6762331447)"
128,"(167807838, 167999905)","(167999905, 167807838)"
129,"(7021117510, 7021112358)","(7021112358, 7021117507)"
130,"(168012810, 11012160302)","(11012160302, 11012160307)"
131,"(12725826559, 12725826560)","(12725826560, 12725826559)"
132,"(10133642758, 10133642757)","(10133642757, 10133642755)"
133,"(8891102929, 8891102928)","(8891102928, 8891036912)"
134,"(12728249029, 12728249016)","(12728249016, 167960634)"
135,"(167971363, 168014368)","(168014368, 167855151)"
136,"(7018292444, 7018292361)","(7018292361, 7018292444)"
137,"(11204131552, 11204131546)","(11204131546, 11204131553)"
138,"(167885123, 167924640)","(167924640, 167885123)"
139,"(167866933, 168042339)","(168042339, 167929023)"
140,"(167823659, 11872571611)","(11872571611, 11872571612)"
141,"(11980892517, 11980892510)","(11980892510, 11980892518)"
142,"(12723437938, 12723437940)","(12723437940, 12723437938)"
143,"(167910568, 167910574)","(167910574, 167910579)"
144,"(167956019, 167867048)","(167867048, 167956019)"
145,"(167868403, 167906424)","(167906424, 167957641)"
146,"(9658748050, 9658748019)","(9658748019, 9658748043)"
147,"(12728215419, 7016006768)","(7016006768, 12728215419)"
148,"(167870190, 167887600)","(167887600, 167870190)"
149,"(7019703932, 10175955030)","(10175955030, 3359695570)"
150,"(12723483954, 12723483944)","(12723483944, 12723483951)"
151,"(11872571582, 11872571580)","(11872571580, 11872571582)"
152,"(167829677, 9658748043)","(9658748043, 167829677)"
153,"(8896164400, 8896164402)","(8896164402, 8896164401)"
154,"(167860640, 167971372)","(167971372, 167971369)"
155,"(11898494761, 11898494757)","(11898494757, 11904603703)"
156,"(7022333647, 7022333642)","(7022333642, 7022333650)"
157,"(10133642769, 10133642765)","(10133642765, 10133642766)"
158,"(7021072813, 7021072814)","(7021072814, 3469851436)"
159,"(167963187, 168014368)","(168014368, 167855151)"
160,"(167893746, 167965100)","(167965100, 167938217)"
161,"(12723451326, 167974780)","(167974780, 167887600)"
162,"(7021117508, 7021117507)","(7021117507, 7021117499)"
163,"(7018292438, 7018292439)","(7018292439, 7018292299)"
164,"(7673816253, 167790719)","(167790719, 167833622)"
165,"(10133717692, 10133717674)","(10133717674, 10133717686)"
166,"(10147388317, 10147388318)","(10147388318, 10147374611)"
167,"(6864877625, 167880950)","(167880950, 167880941)"
168,"(8890841862, 12862536206)","(12862536206, 12862536208)"
169,"(167981684, 167801899)","(167801899, 167981684)"
170,"(11308349263, 11308349264)","(11308349264, 11308349266)"
171,"(167957646, 167957648)","(167957648, 167960630)"
172,"(1135035667, 167895069)","(167895069, 1135035667)"
173,"(167940024, 167830007)","(167830007, 167940024)"
174,"(167797867, 167976141)","(167976141, 167797867)"
175,"(11172616635, 11172651741)","(11172651741, 11172651744)"
176,"(12725716083, 12725716085)","(12725716085, 12725716086)"
177,"(3359663099, 167976186)","(167976186, 167976204)"
178,"(12725746295, 12725746281)","(12725746281, 12736460458)"
179,"(7021072822, 7021072798)","(7021072798, 7021072794)"
180,"(167916878, 167916872)","(167916872, 167916869)"
181,"(167931826, 167931821)","(167931821, 167931826)"
182,"(11308349220, 11308349222)","(11308349222, 11308349223)"
183,"(167870027, 167870033)","(167870033, 167870027)"
184,"(12723445803, 12723445807)","(12723445807, 12723445803)"
185,"(8026278248, 168019837)","(168019837, 168019849)"
186,"(167957648, 167960630)","(167960630, 167957648)"
187,"(167939694, 167938240)","(167938240, 167860594)"
188,"(167862562, 167862556)","(167862556, 167845123)"
189,"(9658673584, 9658673585)","(9658673585, 9658673587)"
190,"(10133642755, 10133642757)","(10133642757, 10133642755)"
191,"(167860594, 167860607)","(167860607, 167934275)"
192,"(10133642774, 10133642776)","(10133642776, 10133642775)"
193,"(167862568, 12723463471)","(12723463471, 6837759139)"
194,"(6861244939, 6861244954)","(6861244954, 6861244939)"
195,"(7009822237, 7009822238)","(7009822238, 7009822241)"
196,"(11172662181, 11172662187)","(11172662187, 11172662192)"
197,"(7017428547, 7017428550)","(7017428550, 7017428536)"
198,"(7021072815, 7021072822)","(7021072822, 7021072799)"
199,"(167891709, 167999905)","(167999905, 167999912)"
200,"(8026278248, 167932265)","(167932265, 167932277)"
201,"(7021117509, 7021112361)","(7021112361, 7021112363)"
202,"(12723496505, 12723496536)","(12723496536, 12723496505)"
203,"(167829591, 167829587)","(167829587, 167829585)"
204,"(10169524516, 10169524509)","(10169524509, 167805053)"
205,"(639305874, 11872571579)","(11872571579, 12909904678)"
206,"(7018292430, 7018292431)","(7018292431, 7018292430)"
207,"(7021128744, 7021128742)","(7021128742, 7021128743)"
208,"(168031012, 167964173)","(167964173, 167960286)"
209,"(167857217, 167857213)","(167857213, 167857219)"
210,"(12723533123, 12723533117)","(12723533117, 12723533118)"
211,"(167974746, 11308349180)","(11308349180, 168020479)"
212,"(167857749, 10136245544)","(10136245544, 3588088892)"
213,"(168036145, 167968977)","(167968977, 167862543)"
214,"(12723376300, 168004424)","(168004424, 167991020)"
215,"(3359663295, 168030570)","(168030570, 167791542)"
216,"(167934413, 167890120)","(167890120, 167934413)"
217,"(167799566, 167821318)","(167821318, 167821315)"
218,"(7018292400, 7018292398)","(7018292398, 7018292396)"
219,"(167862391, 167862584)","(167862584, 9658694815)"
220,"(10147388318, 10147374611)","(10147374611, 10147388317)"
221,"(7017428551, 7017428562)","(7017428562, 7017428540)"
222,"(11204131588, 11204131586)","(11204131586, 11204131611)"
223,"(11980662584, 167873255)","(167873255, 167873258)"
224,"(7021072801, 7021072799)","(7021072799, 7021072801)"
225,"(639305874, 11872571579)","(11872571579, 11872571582)"
226,"(10133751207, 10133751217)","(10133751217, 10133751212)"
227,"(7973686452, 7973686471)","(7973686471, 7973686470)"
228,"(10169326803, 10169524508)","(10169524508, 10169326803)"
229,"(12725746287, 12725746295)","(12725746295, 12725746287)"
230,"(7618701200, 7618701203)","(7618701203, 167997287)"
231,"(7674060275, 7674060264)","(7674060264, 7674060271)"
232,"(7018292451, 7018292452)","(7018292452, 7018292451)"
233,"(12723496505, 12723496507)","(12723496507, 12723496521)"
234,"(12723451332, 12723451322)","(12723451322, 12723451326)"
235,"(167844822, 167844819)","(167844819, 167844811)"
236,"(167944188, 167944218)","(167944218, 167944188)"
237,"(10133692236, 10133692237)","(10133692237, 10133646103)"
238,"(7009847806, 7009847804)","(7009847804, 7009847805)"
239,"(167931850, 167931826)","(167931826, 167931821)"
240,"(7018292451, 7018292453)","(7018292453, 7018292296)"
241,"(168054409, 7009822261)","(7009822261, 168054409)"
242,"(167959470, 7618945974)","(7618945974, 167959470)"
243,"(7018292431, 7018292429)","(7018292429, 7018292428)"
244,"(7016006764, 7016006730)","(7016006730, 7016006764)"
245,"(167947095, 167947091)","(167947091, 168017200)"
246,"(12927637159, 12927637158)","(12927637158, 12927637159)"
247,"(7673816253, 167790719)","(167790719, 7673816256)"
248,"(7674060264, 7674065192)","(7674065192, 7674060264)"
249,"(9335990821, 168031026)","(168031026, 168019712)"
250,"(7177835029, 7177835046)","(7177835046, 7177835029)"
251,"(167897453, 167906424)","(167906424, 167906428)"
252,"(12330873930, 167844797)","(167844797, 167880914)"
253,"(167891475, 167861335)","(167861335, 167891475)"
254,"(13056132496, 13056132493)","(13056132493, 13056132496)"
255,"(3359695575, 8888968716)","(8888968716, 3359695575)"
256,"(7017428567, 7017428566)","(7017428566, 7017428568)"
257,"(10133642772, 10133642771)","(10133642771, 10133642779)"
258,"(167851966, 167851959)","(167851959, 167852005)"
259,"(3359673377, 3359673809)","(3359673809, 3359673795)"
260,"(6772341647, 7009876677)","(7009876677, 7009876672)"
261,"(12330873926, 12330873925)","(12330873925, 12330873924)"
262,"(13056132482, 13056132490)","(13056132490, 13056132482)"
263,"(12728158842, 12728158832)","(12728158832, 12728158842)"
264,"(12725717149, 12725717148)","(12725717148, 12725717149)"
265,"(167802635, 167802672)","(167802672, 167802689)"
266,"(167976232, 167927637)","(167927637, 168040250)"
267,"(6837759140, 6837759139)","(6837759139, 12723463460)"
268,"(7021112326, 7021112324)","(7021112324, 7021112320)"
269,"(12725741672, 12725741673)","(12725741673, 12725741674)"
270,"(167957651, 167960632)","(167960632, 167960630)"
271,"(167868502, 167925995)","(167925995, 167925939)"
272,"(167938222, 12484457432)","(12484457432, 167938217)"
273,"(10170096917, 10170096921)","(10170096921, 167880905)"
274,"(10147374612, 10147388317)","(10147388317, 10147374612)"
275,"(168073032, 167965709)","(167965709, 7973686470)"
276,"(12158161908, 167862562)","(167862562, 12158161908)"
277,"(11471045721, 167895063)","(167895063, 11471045720)"
278,"(10136481932, 10136481935)","(10136481935, 10136481932)"
279,"(168086849, 168030623)","(168030623, 167982315)"
280,"(167827477, 167940538)","(167940538, 167827477)"
281,"(167879771, 167895459)","(167895459, 167895082)"
282,"(7009847826, 7009847828)","(7009847828, 7009847827)"
283,"(7018292405, 7018292403)","(7018292403, 7018292405)"
284,"(167891709, 167936768)","(167936768, 167999899)"
285,"(12723388317, 12723388318)","(12723388318, 12723388317)"
286,"(167837881, 167837884)","(167837884, 167837881)"
287,"(167870039, 167950489)","(167950489, 167956019)"
288,"(7018292287, 7018292510)","(7018292510, 7018292511)"
289,"(12725717143, 12725717146)","(12725717146, 12725717145)"
290,"(9658748043, 167862597)","(167862597, 9658748043)"
291,"(167826017, 167826020)","(167826020, 167921965)"
292,"(10169326803, 10169524508)","(10169524508, 10169524516)"
293,"(167868803, 167889736)","(167889736, 167903884)"
294,"(12728226177, 6952592547)","(6952592547, 8896164394)"
295,"(167844811, 167844819)","(167844819, 168085631)"
296,"(167957651, 167957648)","(167957648, 167957646)"
297,"(10050195856, 10050195855)","(10050195855, 10050195856)"
298,"(167953692, 168067550)","(168067550, 167953692)"
299,"(167850245, 167921994)","(167921994, 167940553)"
300,"(4575838559, 4575838560)","(4575838560, 7009822237)"
301,"(167857749, 167976610)","(167976610, 167978128)"
302,"(8890445889, 8890445888)","(8890445888, 8890445883)"
303,"(168080358, 167995666)","(167995666, 639305874)"
304,"(11980909220, 11980909221)","(11980909221, 11980909227)"
305,"(167887454, 167887460)","(167887460, 167887454)"
306,"(167897473, 167882869)","(167882869, 167849544)"
307,"(10050195864, 10050195850)","(10050195850, 10050195864)"
308,"(3359663183, 11624893181)","(11624893181, 11624893216)"
309,"(11308349274, 11308349276)","(11308349276, 11308349274)"
310,"(167959476, 167944274)","(167944274, 167959476)"
311,"(6864877625, 167880950)","(167880950, 10133717674)"
312,"(7018292296, 7018292395)","(7018292395, 7018292394)"
313,"(11872571580, 11872571582)","(11872571582, 11872571580)"
314,"(7018292434, 7018292442)","(7018292442, 7018292434)"
315,"(8890445880, 8890445888)","(8890445888, 8890445880)"
316,"(167829621, 167829627)","(167829627, 167829621)"
317,"(167978164, 167867039)","(167867039, 167978164)"
318,"(12728249016, 167960634)","(167960634, 167977264)"
319,"(167829597, 167853316)","(167853316, 167999430)"
320,"(167880875, 3469851441)","(3469851441, 8896164393)"
321,"(7016006741, 7016006746)","(7016006746, 7016006747)"
322,"(6861244953, 6861244954)","(6861244954, 6861244939)"
323,"(167837868, 167837874)","(167837874, 167837881)"
324,"(7017428561, 7017428550)","(7017428550, 7017428536)"
325,"(7009847824, 7009847819)","(7009847819, 6762335505)"
326,"(168067501, 167885117)","(167885117, 168067501)"
327,"(167875159, 167849518)","(167849518, 167849531)"
328,"(167953705, 167851984)","(167851984, 167851950)"
329,"(7016006764, 7016006766)","(7016006766, 7016006768)"
330,"(167862556, 167845123)","(167845123, 167862553)"
331,"(9335990820, 9335990824)","(9335990824, 9335990820)"
332,"(7018292299, 7018292439)","(7018292439, 7018292299)"
333,"(7021085426, 7021085423)","(7021085423, 7021085415)"
334,"(7009847811, 7009847810)","(7009847810, 6762335502)"
335,"(13056132401, 13056130500)","(13056130500, 13056132401)"
336,"(167790717, 167833617)","(167833617, 167833622)"
337,"(167897473, 167882869)","(167882869, 167897473)"
338,"(5801071045, 167931856)","(167931856, 168039669)"
339,"(3359663158, 3359663169)","(3359663169, 3359663158)"
340,"(6864382257, 6864382267)","(6864382267, 6864378030)"
341,"(12725737803, 12725737801)","(12725737801, 12725716100)"
342,"(7022868437, 167845235)","(167845235, 167873258)"
343,"(11980909213, 11980909197)","(11980909197, 11980909215)"
344,"(7018292347, 7018292353)","(7018292353, 9335990857)"
345,"(167862568, 6837759141)","(6837759141, 167862562)"
346,"(12330873921, 12330873927)","(12330873927, 12330873928)"
347,"(11308349267, 11308349268)","(11308349268, 11308349266)"
348,"(12725796938, 12725796942)","(12725796942, 12725796936)"
349,"(13056132494, 13056132497)","(13056132497, 13056132495)"
350,"(167879771, 167879765)","(167879765, 167940538)"
351,"(11204131376, 11204131342)","(11204131342, 11204131376)"
352,"(3359673809, 3359673377)","(3359673377, 168073032)"
353,"(8944378449, 8944378451)","(8944378451, 8944378450)"
354,"(11204131587, 11204131586)","(11204131586, 11204131611)"
355,"(167971372, 167860640)","(167860640, 167860637)"
356,"(7007141933, 7007141941)","(7007141941, 7007141932)"
357,"(8890445848, 8890445846)","(8890445846, 8890445847)"
358,"(12728226171, 167904585)","(167904585, 11172616609)"
359,"(167905048, 167929068)","(167929068, 167905048)"
360,"(11872571579, 639305874)","(639305874, 11872571579)"
361,"(6762331439, 6762331446)","(6762331446, 6762331448)"
362,"(167895096, 167895090)","(167895090, 167895096)"
363,"(7021072800, 7021072798)","(7021072798, 7021072794)"
364,"(10133692236, 10133692237)","(10133692237, 10133692236)"
365,"(10133717692, 10133717674)","(10133717674, 10133717692)"
366,"(8890445848, 8890422102)","(8890422102, 8890445840)"
367,"(167955521, 12725737807)","(12725737807, 7021873773)"
368,"(8888995019, 7908997212)","(7908997212, 8888995019)"
369,"(8896164394, 12728226180)","(12728226180, 8896164408)"
370,"(167897649, 11172673037)","(11172673037, 167897649)"
371,"(12728243589, 12728243590)","(12728243590, 12728243589)"
372,"(167844856, 9370952049)","(9370952049, 167844848)"
373,"(13056132494, 13056132500)","(13056132500, 13056132499)"
374,"(168093137, 12725717122)","(12725717122, 167981742)"
375,"(10174611038, 10174611037)","(10174611037, 10174611048)"
376,"(10175955030, 7019703932)","(7019703932, 10175955030)"
377,"(8944378465, 8944378451)","(8944378451, 8944378465)"
378,"(168040250, 167927637)","(167927637, 168040250)"
379,"(12862536219, 8890841863)","(8890841863, 12862536219)"
380,"(12723443883, 12723445806)","(12723445806, 12723445805)"
381,"(11980909226, 11980909220)","(11980909220, 11980909226)"
382,"(3588088883, 12725826569)","(12725826569, 3588088883)"
383,"(9658673581, 9658673579)","(9658673579, 9658673577)"
384,"(167822337, 11308349227)","(11308349227, 167822337)"
385,"(167873292, 167873289)","(167873289, 167801685)"
386,"(167916878, 167870024)","(167870024, 167916878)"
387,"(167883801, 167883798)","(167883798, 167947095)"
388,"(3525973231, 3525973235)","(3525973235, 3525973225)"
389,"(168039669, 167931826)","(167931826, 167931821)"
390,"(167830038, 167830033)","(167830033, 167934395)"
391,"(167897827, 167897824)","(167897824, 167897827)"
392,"(12725717145, 168093137)","(168093137, 12725717156)"
393,"(10133642780, 10133642779)","(10133642779, 10133642771)"
394,"(8896164403, 8896164404)","(8896164404, 8896164402)"
395,"(10133642780, 10133642759)","(10133642759, 10133642780)"
396,"(167854839, 167867687)","(167867687, 167867677)"
397,"(167872619, 167852005)","(167852005, 167872619)"
398,"(168007230, 167883864)","(167883864, 168007230)"
399,"(9658673571, 9658673570)","(9658673570, 9658673569)"
400,"(168030596, 167886802)","(167886802, 167886806)"
401,"(167897473, 167897466)","(167897466, 167882867)"
402,"(167791970, 167982315)","(167982315, 168030623)"
403,"(12728226188, 6952592546)","(6952592546, 8896164393)"
404,"(7018292452, 7018292449)","(7018292449, 7018292448)"
405,"(12723445810, 12723445811)","(12723445811, 12723445813)"
406,"(7021085415, 7021085423)","(7021085423, 7021085420)"
407,"(167934293, 167860607)","(167860607, 167860594)"
408,"(168068469, 167942190)","(167942190, 168068469)"
409,"(167862492, 167862518)","(167862518, 167862492)"
410,"(167829990, 168080367)","(168080367, 167916869)"
411,"(11204131316, 167844656)","(167844656, 11204131316)"
412,"(167850248, 167895082)","(167895082, 167895459)"
413,"(12723483962, 167882924)","(167882924, 167801948)"
414,"(7021873772, 7021873773)","(7021873773, 12725716075)"
415,"(167866933, 168042339)","(168042339, 12927637158)"
416,"(10133642746, 10133642747)","(10133642747, 10133642749)"
417,"(167868403, 167868426)","(167868426, 167947607)"
418,"(3359663295, 3359663294)","(3359663294, 3359663295)"
419,"(167873289, 167791331)","(167791331, 167801685)"
420,"(167829988, 167829990)","(167829990, 167829988)"
421,"(167854845, 167854849)","(167854849, 167854845)"
422,"(7618701200, 167997294)","(167997294, 7618701200)"
423,"(10136481938, 10136481937)","(10136481937, 10136481935)"
424,"(7018292361, 7018292438)","(7018292438, 7018292439)"
425,"(167883801, 167883805)","(167883805, 167883801)"
426,"(10869026173, 10869026180)","(10869026180, 167829691)"
427,"(10197924226, 10197924228)","(10197924228, 10197924226)"
428,"(12723463482, 12723463485)","(12723463485, 12723463482)"
429,"(12725737806, 12725716098)","(12725716098, 12725716087)"
430,"(8890841859, 12862535998)","(12862535998, 8890841859)"
431,"(13056132494, 13056132498)","(13056132498, 13056132494)"
432,"(167832354, 7009822259)","(7009822259, 7009822260)"
433,"(11898494765, 11898494757)","(11898494757, 11898494765)"
434,"(167854849, 167939971)","(167939971, 167854845)"
435,"(11980600842, 11980600834)","(11980600834, 11980600842)"
436,"(167972978, 167976151)","(167976151, 167897827)"
437,"(167976143, 167976148)","(167976148, 167976143)"
438,"(11980600836, 11980600842)","(11980600842, 11980600834)"
439,"(11308349271, 11308349272)","(11308349272, 11308349274)"
440,"(11980909221, 11980909227)","(11980909227, 11980909252)"
441,"(12723533105, 12723533101)","(12723533101, 12723376300)"
442,"(167873282, 167923593)","(167923593, 167829595)"
443,"(3359631949, 167922396)","(167922396, 3359631975)"
444,"(7908997225, 7908997213)","(7908997213, 7908997212)"
445,"(11172650186, 11172651740)","(11172651740, 11172616635)"
446,"(6864861879, 167862584)","(167862584, 12728158827)"
447,"(168067550, 167862511)","(167862511, 167862518)"
448,"(8974425819, 8974414815)","(8974414815, 8974425819)"
449,"(167849518, 167930016)","(167930016, 167948646)"
450,"(10169524508, 10169326803)","(10169326803, 10169524499)"
451,"(12725826559, 12725826560)","(12725826560, 12725826558)"
452,"(7017428571, 7017428539)","(7017428539, 7017428579)"
453,"(7021085420, 7021085417)","(7021085417, 7021085427)"
454,"(2980998683, 168047530)","(168047530, 2980998683)"
455,"(168019206, 167847446)","(167847446, 167847442)"
456,"(11204131613, 11204131633)","(11204131633, 11204131613)"
457,"(7021072815, 7021072799)","(7021072799, 7021072815)"
458,"(11980909213, 11980909197)","(11980909197, 11980909249)"
459,"(167790717, 167862553)","(167862553, 167862543)"
460,"(7018292403, 7018292405)","(7018292405, 7018292403)"
461,"(11980909196, 11980909197)","(11980909197, 11980909215)"
462,"(2980998685, 168044078)","(168044078, 167843594)"
463,"(7016006764, 7016006730)","(7016006730, 7016006729)"
464,"(8896164393, 3469851441)","(3469851441, 8896164393)"
465,"(167845235, 167873258)","(167873258, 167845235)"
466,"(167878235, 167890888)","(167890888, 167878235)"
467,"(167927575, 167976204)","(167976204, 3049596667)"
468,"(12909904673, 12909904665)","(12909904665, 12909904673)"
469,"(7021072804, 7021072806)","(7021072806, 3469851437)"
470,"(6952592546, 8896164396)","(8896164396, 6952592546)"
471,"(167955422, 9658777376)","(9658777376, 167955422)"
472,"(7674065186, 7674065192)","(7674065192, 7674060264)"
473,"(12723445807, 12723445809)","(12723445809, 12723445810)"
474,"(10133642773, 167799562)","(167799562, 10133642779)"
475,"(10219057316, 10219057315)","(10219057315, 10219057316)"
476,"(7016006739, 3469851452)","(3469851452, 7016006732)"
477,"(7018292404, 7018292406)","(7018292406, 7018292290)"
478,"(167805043, 167805053)","(167805053, 10169524509)"
479,"(3359663096, 3359663095)","(3359663095, 3359663099)"
480,"(167906373, 7009822240)","(7009822240, 7009822238)"
481,"(167881043, 9658673594)","(9658673594, 9658673596)"
482,"(7092306575, 7092306576)","(7092306576, 7092306575)"
483,"(167801685, 11012160308)","(11012160308, 11012160307)"
484,"(168030623, 167982315)","(167982315, 168030623)"
485,"(7021085418, 7021085427)","(7021085427, 7021085417)"
486,"(11980909265, 11980909266)","(11980909266, 11980909265)"
487,"(168036148, 168036145)","(168036145, 168036148)"
488,"(10169524508, 3359661472)","(3359661472, 167844789)"
489,"(168091777, 167897582)","(167897582, 167897578)"
490,"(167868741, 167934401)","(167934401, 167868741)"
491,"(13056130483, 13056130488)","(13056130488, 13056130491)"
