,incoming_edge,outgoing_edge
3974,"(10050195849, 10050195850)","(10050195850, 10050195856)"
3975,"(11308349278, 11308349280)","(11308349280, 11308349278)"
3976,"(167897647, 167897649)","(167897649, 167910765)"
3977,"(12725741662, 12725741677)","(12725741677, 12725741674)"
3978,"(7018292438, 7018292361)","(7018292361, 7018292444)"
3979,"(3359661472, 10169524508)","(10169524508, 3359661472)"
3980,"(12728158841, 12728158833)","(12728158833, 12728158841)"
3981,"(7019727511, 7019727510)","(7019727510, 7009847788)"
3982,"(167934260, 167837848)","(167837848, 167837862)"
3983,"(11980920992, 11980909254)","(11980909254, 11980920992)"
3984,"(8026278245, 167932265)","(167932265, 167932277)"
3985,"(8974414815, 8974472013)","(8974472013, 8974414815)"
3986,"(8890445765, 8890445789)","(8890445789, 8890445790)"
3987,"(12728158839, 12728158838)","(12728158838, 12728158840)"
3988,"(167837848, 167934266)","(167934266, 167837848)"
3989,"(168019712, 9335990883)","(9335990883, 9335990886)"
3990,"(167891879, 167976143)","(167976143, 167891879)"
3991,"(11172651748, 167883825)","(167883825, 11172616609)"
3992,"(12725741660, 12725741665)","(12725741665, 12725741672)"
3993,"(168052425, 8026278712)","(8026278712, 168052425)"
3994,"(7674060262, 167893746)","(167893746, 7674060262)"
3995,"(11204131553, 11204131554)","(11204131554, 11204131553)"
3996,"(3359695811, 3359695816)","(3359695816, 3359695811)"
3997,"(167930215, 168010782)","(168010782, 167939973)"
3998,"(167895459, 167895082)","(167895082, 167850248)"
3999,"(8890445920, 8890445917)","(8890445917, 8890445763)"
4000,"(167790719, 167790717)","(167790717, 167790704)"
4001,"(167870261, 167870268)","(167870268, 167870261)"
4002,"(167965100, 7057070665)","(7057070665, 7674060264)"
4003,"(12728226188, 6952592546)","(6952592546, 8896164396)"
4004,"(7018292433, 7018292435)","(7018292435, 7018292305)"
4005,"(7018292426, 7018292425)","(7018292425, 7018292510)"
4006,"(8026278224, 8026278225)","(8026278225, 8026278224)"
4007,"(167895459, 167921994)","(167921994, 167850245)"
4008,"(9335990857, 167964201)","(167964201, 167974714)"
4009,"(12728226188, 3469851438)","(3469851438, 167827664)"
4010,"(7018292426, 7018292429)","(7018292429, 7018292426)"
4011,"(167991020, 167939973)","(167939973, 167939971)"
4012,"(7018292441, 7018292440)","(7018292440, 7018292441)"
4013,"(167944274, 167959476)","(167959476, 168055585)"
4014,"(7618701203, 167997287)","(167997287, 7618701203)"
4015,"(7018292403, 7018292411)","(7018292411, 7018292403)"
4016,"(7021128733, 7021128734)","(7021128734, 7021128733)"
4017,"(12723463470, 167862568)","(167862568, 6837759141)"
4018,"(3588414422, 3588414419)","(3588414419, 3588414422)"
4019,"(7021117506, 7021117500)","(7021117500, 7021117506)"
4020,"(167882927, 167881036)","(167881036, 167881033)"
4021,"(12723483963, 12723483962)","(12723483962, 167882924)"
4022,"(7009822228, 7007141928)","(7007141928, 7009822241)"
4023,"(167881156, 167818247)","(167818247, 167881156)"
4024,"(13056130482, 167885117)","(167885117, 13056130482)"
4025,"(167833622, 167833617)","(167833617, 167899240)"
4026,"(167813810, 167799761)","(167799761, 167799746)"
4027,"(167868403, 167868426)","(167868426, 167947610)"
4028,"(167854857, 167983887)","(167983887, 167854857)"
4029,"(7674060274, 7057070661)","(7057070661, 167837391)"
4030,"(167850248, 167895082)","(167895082, 167895072)"
4031,"(167791143, 167791137)","(167791137, 167842155)"
4032,"(167891884, 167976143)","(167976143, 167891884)"
4033,"(3359631957, 3359631958)","(3359631958, 3359631951)"
4034,"(10136481938, 10136481937)","(10136481937, 10136481938)"
4035,"(7021112345, 7021112346)","(7021112346, 7021112348)"
4036,"(167949562, 12723496523)","(12723496523, 167949562)"
4037,"(167837862, 167837848)","(167837848, 167934266)"
4038,"(167904519, 167852005)","(167852005, 167904519)"
4039,"(168010963, 168010960)","(168010960, 3359695577)"
4040,"(168030531, 8026278225)","(8026278225, 8026278224)"
4041,"(11308349228, 11308349231)","(11308349231, 11308349193)"
4042,"(7009847827, 7009847825)","(7009847825, 3359695807)"
4043,"(12723483955, 12723483964)","(12723483964, 12723483963)"
4044,"(11980600836, 11980600842)","(11980600842, 11980600837)"
4045,"(167851940, 7177835038)","(7177835038, 7177835035)"
4046,"(167857213, 167857217)","(167857217, 167939694)"
4047,"(167867039, 167867042)","(167867042, 167867048)"
4048,"(167882865, 167882867)","(167882867, 167897466)"
4049,"(167829677, 167829637)","(167829637, 167862622)"
4050,"(3359663099, 3359663095)","(3359663095, 167955444)"
4051,"(167995650, 167906396)","(167906396, 167995650)"
4052,"(9658748025, 9658748023)","(9658748023, 9658748022)"
4053,"(10133751194, 10133717681)","(10133717681, 10133717671)"
4054,"(3588088885, 12725826569)","(12725826569, 3588088885)"
4055,"(7672174271, 167862556)","(167862556, 7673816253)"
4056,"(12725737817, 12725737810)","(12725737810, 12725716095)"
4057,"(10197924225, 10197917511)","(10197917511, 10197924225)"
4058,"(8890422107, 8890422106)","(8890422106, 8890445835)"
4059,"(7021112342, 7021112355)","(7021112355, 7021112348)"
4060,"(167978630, 12725826554)","(12725826554, 12725826558)"
4061,"(12725741652, 167882850)","(167882850, 167923047)"
4062,"(7018292433, 7018292279)","(7018292279, 7018292280)"
4063,"(7673816262, 7673816253)","(7673816253, 167862556)"
4064,"(12725717133, 12725717142)","(12725717142, 12725717135)"
4065,"(167981684, 167801913)","(167801913, 167981684)"
4066,"(7674060267, 7674065186)","(7674065186, 7674065192)"
4067,"(13056130491, 13056130488)","(13056130488, 13056130483)"
4068,"(168010782, 167930215)","(167930215, 168011276)"
4069,"(167884986, 167884980)","(167884980, 167852745)"
4070,"(7018292450, 7018292451)","(7018292451, 7018292452)"
4071,"(167902585, 167860643)","(167860643, 167860640)"
4072,"(7021072807, 7021072809)","(7021072809, 7021072811)"
4073,"(7021112355, 7021112342)","(7021112342, 7021112346)"
4074,"(11309680571, 11308349188)","(11308349188, 11309680571)"
4075,"(167906424, 167868403)","(167868403, 167955422)"
4076,"(7973686452, 167965649)","(167965649, 167808847)"
4077,"(167930016, 167948646)","(167948646, 167930016)"
4078,"(7009822242, 167978624)","(167978624, 167849571)"
4079,"(11012160302, 11012160307)","(11012160307, 11012160302)"
4080,"(167865740, 167976173)","(167976173, 167844788)"
4081,"(7018292447, 7018292448)","(7018292448, 7018292445)"
4082,"(12723369539, 12723369534)","(12723369534, 12723369533)"
4083,"(7618788254, 167857749)","(167857749, 167976610)"
4084,"(167889777, 11204131364)","(11204131364, 6071061225)"
4085,"(13056132481, 13056132482)","(13056132482, 13056132481)"
4086,"(9658783844, 9658783846)","(9658783846, 9658783844)"
4087,"(167829613, 167829601)","(167829601, 167829613)"
4088,"(11624893179, 11624893170)","(11624893170, 11624893175)"
4089,"(8890445834, 8890445857)","(8890445857, 8890445834)"
